Time,Voltage,Voltage_0,Voltage_1,x,y,z,x,y,z,
下午 08:49:16,0.203887,0.210048,0.492789,0.020820582,-0.02015209,-1.014463584,,,,
下午 08:49:16,0.202869,0.210048,0.492789,0.024667523,-0.02015209,-1.014463584,,,,
下午 08:49:16,0.203378,0.210048,0.492789,0.022744053,-0.02015209,-1.014463584,,,,
下午 08:49:16,0.203887,0.210048,0.492789,0.020820582,-0.02015209,-1.014463584,,,,
下午 08:49:16,0.204397,0.210048,0.492789,0.018893333,-0.02015209,-1.014463584,,,,
下午 08:49:16,0.203887,0.210048,0.492789,0.020820582,-0.02015209,-1.014463584,,,,
下午 08:49:16,0.203378,0.210048,0.492789,0.022744053,-0.02015209,-1.014463584,,,,
下午 08:49:16,0.203887,0.210048,0.492789,0.020820582,-0.02015209,-1.014463584,,,,
下午 08:49:17,0.203887,0.210048,0.492789,0.020820582,-0.02015209,-1.014463584,,,,
下午 08:49:17,0.203378,0.210048,0.492789,0.022744053,-0.02015209,-1.014463584,,,,
下午 08:49:17,0.203378,0.210048,0.492789,0.022744053,-0.02015209,-1.014463584,,,,
下午 08:49:17,0.204397,0.210048,0.492789,0.018893333,-0.02015209,-1.014463584,,,,
下午 08:49:17,0.203887,0.210048,0.492789,0.020820582,-0.02015209,-1.014463584,,,,
下午 08:49:17,0.203378,0.210048,0.492789,0.022744053,-0.02015209,-1.014463584,,,,
下午 08:49:17,0.203378,0.210048,0.492789,0.022744053,-0.02015209,-1.014463584,,,,
下午 08:49:17,0.203378,0.210048,0.492789,0.022744053,-0.02015209,-1.014463584,,,,
下午 08:49:17,0.204397,0.210048,0.492789,0.018893333,-0.02015209,-1.014463584,,,,
下午 08:49:17,0.203378,0.210048,0.492789,0.022744053,-0.02015209,-1.014463584,,,,
下午 08:49:18,0.203887,0.210048,0.492789,0.020820582,-0.02015209,-1.014463584,,,,
下午 08:49:18,0.203378,0.210048,0.492789,0.022744053,-0.02015209,-1.014463584,,,,
下午 08:49:18,0.204397,0.210048,0.492789,0.018893333,-0.02015209,-1.014463584,,,,
下午 08:49:18,0.203887,0.210048,0.492789,0.020820582,-0.02015209,-1.014463584,,,,
下午 08:49:18,0.204906,0.210048,0.492789,0.016969862,-0.02015209,-1.014463584,,,,
下午 08:49:18,0.204906,0.210048,0.492789,0.016969862,-0.02015209,-1.014463584,,,,
下午 08:49:18,0.204906,0.210048,0.492789,0.016969862,-0.02015209,-1.014463584,,,,
下午 08:49:18,0.204906,0.210048,0.492789,0.016969862,-0.02015209,-1.014463584,,,,
下午 08:49:18,0.204397,0.210048,0.492789,0.018893333,-0.02015209,-1.014463584,,,,
下午 08:49:18,0.203887,0.210048,0.492789,0.020820582,-0.02015209,-1.014463584,,,,
下午 08:49:19,0.203887,0.215141,0.492789,0.020820582,-0.038972568,-1.014463584,,,,
下午 08:49:19,0.204397,0.210048,0.492789,0.018893333,-0.02015209,-1.014463584,,,,
下午 08:49:19,0.203887,0.210048,0.492789,0.020820582,-0.02015209,-1.014463584,,,,
下午 08:49:19,0.203887,0.210048,0.492789,0.020820582,-0.02015209,-1.014463584,,,,
下午 08:49:19,0.203887,0.210048,0.492789,0.020820582,-0.02015209,-1.014463584,,,,
下午 08:49:19,0.204397,0.210048,0.492789,0.018893333,-0.02015209,-1.014463584,,,,
下午 08:49:19,0.203378,0.210048,0.492789,0.022744053,-0.02015209,-1.014463584,,,,
下午 08:49:19,0.203887,0.210048,0.492789,0.020820582,-0.02015209,-1.014463584,,,,
下午 08:49:19,0.204397,0.210048,0.492789,0.018893333,-0.02015209,-1.014463584,,,,
下午 08:49:19,0.204397,0.210048,0.492789,0.018893333,-0.02015209,-1.014463584,,,,
下午 08:49:20,0.204397,0.210048,0.492789,0.018893333,-0.02015209,-1.014463584,,,,
下午 08:49:20,0.203378,0.210048,0.492789,0.022744053,-0.02015209,-1.014463584,,,,
下午 08:49:20,0.203887,0.210048,0.492789,0.020820582,-0.02015209,-1.014463584,,,,
下午 08:49:20,0.203887,0.210048,0.492789,0.020820582,-0.02015209,-1.014463584,,,,
下午 08:49:20,0.204397,0.210048,0.492789,0.018893333,-0.02015209,-1.014463584,,,,
下午 08:49:20,0.204397,0.210048,0.492789,0.018893333,-0.02015209,-1.014463584,,,,
下午 08:49:20,0.203887,0.210048,0.492789,0.020820582,-0.02015209,-1.014463584,,,,
下午 08:49:20,0.203887,0.210048,0.492789,0.020820582,-0.02015209,-1.014463584,,,,
下午 08:49:20,0.204397,0.210048,0.492789,0.018893333,-0.02015209,-1.014463584,,,,
下午 08:49:20,0.2263,0.215141,0.482606,-0.063876362,-0.038972568,-0.976466406,,,,
下午 08:49:21,0.197775,0.235513,0.492789,0.043917344,-0.114254478,-1.014463584,,,,
下午 08:49:21,0.203887,0.184584,0.492789,0.020820582,0.073946602,-1.014463584,,,,
下午 08:49:21,0.206944,0.179491,0.487698,0.009268422,0.092767079,-0.995466861,,,,
下午 08:49:21,0.206944,0.189677,0.492789,0.009268422,0.055126124,-1.014463584,,,,
下午 08:49:21,0.206434,0.204955,0.487698,0.011195672,-0.001331613,-0.995466861,,,,
下午 08:49:21,0.204397,0.204955,0.492789,0.018893333,-0.001331613,-1.014463584,,,,
下午 08:49:21,0.206434,0.199862,0.492789,0.011195672,0.017488865,-1.014463584,,,,
下午 08:49:21,0.203378,0.225327,0.492789,0.022744053,-0.076613523,-1.014463584,,,,
下午 08:49:21,0.205925,0.215141,0.492789,0.013119142,-0.038972568,-1.014463584,,,,
下午 08:49:21,0.204906,0.210048,0.492789,0.016969862,-0.02015209,-1.014463584,,,,
下午 08:49:22,0.203887,0.210048,0.492789,0.020820582,-0.02015209,-1.014463584,,,,
下午 08:49:22,0.204397,0.210048,0.492789,0.018893333,-0.02015209,-1.014463584,,,,
下午 08:49:22,0.203378,0.210048,0.492789,0.022744053,-0.02015209,-1.014463584,,,,
下午 08:49:22,0.20185,0.215141,0.492789,0.028518243,-0.038972568,-1.014463584,,,,
下午 08:49:22,0.203378,0.210048,0.492789,0.022744053,-0.02015209,-1.014463584,,,,
下午 08:49:22,0.203378,0.215141,0.492789,0.022744053,-0.038972568,-1.014463584,,,,
下午 08:49:22,0.202869,0.215141,0.492789,0.024667523,-0.038972568,-1.014463584,,,,
下午 08:49:22,0.202359,0.210048,0.492789,0.026594773,-0.02015209,-1.014463584,,,,
下午 08:49:22,0.203887,0.204955,0.492789,0.020820582,-0.001331613,-1.014463584,,,,
下午 08:49:22,0.203887,0.210048,0.492789,0.020820582,-0.02015209,-1.014463584,,,,
下午 08:49:23,0.204397,0.215141,0.492789,0.018893333,-0.038972568,-1.014463584,,,,
下午 08:49:23,0.204906,0.210048,0.492789,0.016969862,-0.02015209,-1.014463584,,,,
下午 08:49:23,0.204906,0.204955,0.492789,0.016969862,-0.001331613,-1.014463584,,,,
下午 08:49:23,0.203887,0.210048,0.492789,0.020820582,-0.02015209,-1.014463584,,,,
下午 08:49:23,0.204397,0.215141,0.492789,0.018893333,-0.038972568,-1.014463584,,,,
下午 08:49:23,0.204906,0.210048,0.492789,0.016969862,-0.02015209,-1.014463584,,,,
下午 08:49:23,0.204397,0.210048,0.487698,0.018893333,-0.02015209,-0.995466861,,,,
下午 08:49:23,0.203887,0.210048,0.492789,0.020820582,-0.02015209,-1.014463584,,,,
下午 08:49:23,0.204397,0.210048,0.492789,0.018893333,-0.02015209,-1.014463584,,,,
下午 08:49:23,0.204397,0.210048,0.492789,0.018893333,-0.02015209,-1.014463584,,,,
下午 08:49:24,0.204397,0.210048,0.492789,0.018893333,-0.02015209,-1.014463584,,,,
下午 08:49:24,0.204397,0.210048,0.492789,0.018893333,-0.02015209,-1.014463584,,,,
下午 08:49:24,0.204397,0.210048,0.492789,0.018893333,-0.02015209,-1.014463584,,,,
下午 08:49:24,0.204397,0.210048,0.492789,0.018893333,-0.02015209,-1.014463584,,,,
下午 08:49:24,0.204397,0.215141,0.492789,0.018893333,-0.038972568,-1.014463584,,,,
下午 08:49:24,0.205416,0.210048,0.492789,0.015042613,-0.02015209,-1.014463584,,,,
下午 08:49:24,0.205416,0.210048,0.492789,0.015042613,-0.02015209,-1.014463584,,,,
下午 08:49:24,0.204397,0.210048,0.492789,0.018893333,-0.02015209,-1.014463584,,,,
下午 08:49:24,0.206434,0.204955,0.492789,0.011195672,-0.001331613,-1.014463584,,,,
下午 08:49:24,0.204906,0.210048,0.492789,0.016969862,-0.02015209,-1.014463584,,,,
下午 08:49:25,0.204397,0.225327,0.492789,0.018893333,-0.076613523,-1.014463584,,,,
下午 08:49:25,0.203378,0.215141,0.492789,0.022744053,-0.038972568,-1.014463584,,,,
下午 08:49:25,0.204397,0.210048,0.492789,0.018893333,-0.02015209,-1.014463584,,,,
下午 08:49:25,0.203887,0.215141,0.492789,0.020820582,-0.038972568,-1.014463584,,,,
下午 08:49:25,0.204906,0.210048,0.492789,0.016969862,-0.02015209,-1.014463584,,,,
下午 08:49:25,0.204397,0.210048,0.492789,0.018893333,-0.02015209,-1.014463584,,,,
下午 08:49:25,0.203887,0.210048,0.492789,0.020820582,-0.02015209,-1.014463584,,,,
下午 08:49:25,0.204906,0.210048,0.492789,0.016969862,-0.02015209,-1.014463584,,,,
下午 08:49:25,0.205416,0.215141,0.492789,0.015042613,-0.038972568,-1.014463584,,,,
下午 08:49:25,0.204906,0.220234,0.502972,0.016969862,-0.057793045,-1.052460762,,,,
下午 08:49:26,0.204397,0.210048,0.492789,0.018893333,-0.02015209,-1.014463584,,,,
下午 08:49:26,0.204397,0.210048,0.492789,0.018893333,-0.02015209,-1.014463584,,,,
下午 08:49:26,0.201341,0.235513,0.492789,0.030441714,-0.114254478,-1.014463584,,,,
下午 08:49:26,0.204906,0.19477,0.492789,0.016969862,0.036305647,-1.014463584,,,,
下午 08:49:26,0.204397,0.215141,0.492789,0.018893333,-0.038972568,-1.014463584,,,,
下午 08:49:26,0.202869,0.210048,0.492789,0.024667523,-0.02015209,-1.014463584,,,,
下午 08:49:26,0.203887,0.210048,0.492789,0.020820582,-0.02015209,-1.014463584,,,,
下午 08:49:26,0.202869,0.210048,0.492789,0.024667523,-0.02015209,-1.014463584,,,,
下午 08:49:26,0.21,0.215141,0.492789,-0.002279959,-0.038972568,-1.014463584,,,,
下午 08:49:26,0.204906,0.210048,0.492789,0.016969862,-0.02015209,-1.014463584,,,,
下午 08:49:27,0.204906,0.210048,0.492789,0.016969862,-0.02015209,-1.014463584,,,,
下午 08:49:27,0.204397,0.210048,0.492789,0.018893333,-0.02015209,-1.014463584,,,,
下午 08:49:27,0.204397,0.210048,0.492789,0.018893333,-0.02015209,-1.014463584,,,,
下午 08:49:27,0.206434,0.210048,0.492789,0.011195672,-0.02015209,-1.014463584,,,,
下午 08:49:27,0.204906,0.215141,0.492789,0.016969862,-0.038972568,-1.014463584,,,,
下午 08:49:27,0.203887,0.210048,0.492789,0.020820582,-0.02015209,-1.014463584,,,,
下午 08:49:27,0.204906,0.210048,0.492789,0.016969862,-0.02015209,-1.014463584,,,,
下午 08:49:27,0.204906,0.210048,0.492789,0.016969862,-0.02015209,-1.014463584,,,,
下午 08:49:27,0.204397,0.210048,0.492789,0.018893333,-0.02015209,-1.014463584,,,,
下午 08:49:27,0.204906,0.210048,0.492789,0.016969862,-0.02015209,-1.014463584,,,,
下午 08:49:28,0.203887,0.210048,0.492789,0.020820582,-0.02015209,-1.014463584,,,,
下午 08:49:28,0.204906,0.210048,0.492789,0.016969862,-0.02015209,-1.014463584,,,,
下午 08:49:28,0.205416,0.210048,0.492789,0.015042613,-0.02015209,-1.014463584,,,,
下午 08:49:28,0.204397,0.210048,0.492789,0.018893333,-0.02015209,-1.014463584,,,,
下午 08:49:28,0.204397,0.210048,0.492789,0.018893333,-0.02015209,-1.014463584,,,,
下午 08:49:28,0.204906,0.210048,0.492789,0.016969862,-0.02015209,-1.014463584,,,,
下午 08:49:28,0.204906,0.210048,0.492789,0.016969862,-0.02015209,-1.014463584,,,,
下午 08:49:28,0.203887,0.210048,0.492789,0.020820582,-0.02015209,-1.014463584,,,,
下午 08:49:28,0.204397,0.210048,0.492789,0.018893333,-0.02015209,-1.014463584,,,,
下午 08:49:28,0.204906,0.210048,0.492789,0.016969862,-0.02015209,-1.014463584,,,,
下午 08:49:29,0.204906,0.210048,0.492789,0.016969862,-0.02015209,-1.014463584,,,,
下午 08:49:29,0.204397,0.210048,0.492789,0.018893333,-0.02015209,-1.014463584,,,,
下午 08:49:29,0.204397,0.210048,0.492789,0.018893333,-0.02015209,-1.014463584,,,,
下午 08:49:29,0.204906,0.210048,0.492789,0.016969862,-0.02015209,-1.014463584,,,,
下午 08:49:29,0.204397,0.210048,0.492789,0.018893333,-0.02015209,-1.014463584,,,,
下午 08:49:29,0.205416,0.210048,0.492789,0.015042613,-0.02015209,-1.014463584,,,,
下午 08:49:29,0.204397,0.215141,0.492789,0.018893333,-0.038972568,-1.014463584,,,,
下午 08:49:29,0.203887,0.215141,0.492789,0.020820582,-0.038972568,-1.014463584,,,,
下午 08:49:29,0.203887,0.215141,0.492789,0.020820582,-0.038972568,-1.014463584,,,,
下午 08:49:29,0.204906,0.210048,0.492789,0.016969862,-0.02015209,-1.014463584,,,,
下午 08:49:30,0.204397,0.210048,0.492789,0.018893333,-0.02015209,-1.014463584,,,,
下午 08:49:30,0.205416,0.210048,0.492789,0.015042613,-0.02015209,-1.014463584,,,,
下午 08:49:30,0.204397,0.210048,0.492789,0.018893333,-0.02015209,-1.014463584,,,,
下午 08:49:30,0.205416,0.210048,0.492789,0.015042613,-0.02015209,-1.014463584,,,,
下午 08:49:30,0.204397,0.210048,0.492789,0.018893333,-0.02015209,-1.014463584,,,,
下午 08:49:30,0.204906,0.210048,0.492789,0.016969862,-0.02015209,-1.014463584,,,,
下午 08:49:30,0.204906,0.210048,0.492789,0.016969862,-0.02015209,-1.014463584,,,,
下午 08:49:30,0.204397,0.210048,0.492789,0.018893333,-0.02015209,-1.014463584,,,,
下午 08:49:30,0.204906,0.210048,0.492789,0.016969862,-0.02015209,-1.014463584,,,,
下午 08:49:30,0.203887,0.210048,0.492789,0.020820582,-0.02015209,-1.014463584,,,,
下午 08:49:31,0.204397,0.210048,0.492789,0.018893333,-0.02015209,-1.014463584,,,,
下午 08:49:31,0.204397,0.210048,0.492789,0.018893333,-0.02015209,-1.014463584,,,,
下午 08:49:31,0.204397,0.210048,0.492789,0.018893333,-0.02015209,-1.014463584,,,,
下午 08:49:31,0.204906,0.210048,0.492789,0.016969862,-0.02015209,-1.014463584,,,,
下午 08:49:31,0.205416,0.210048,0.492789,0.015042613,-0.02015209,-1.014463584,,,,
下午 08:49:31,0.204397,0.210048,0.492789,0.018893333,-0.02015209,-1.014463584,,,,
下午 08:49:31,0.204906,0.210048,0.492789,0.016969862,-0.02015209,-1.014463584,,,,
